Protocol,Score-Band,Count
excerpts,1.0,2
excerpts,1.25,0
excerpts,1.5,1
excerpts,1.75,3
excerpts,2.0,3
excerpts,2.25,5
excerpts,2.5,3
excerpts,2.75,7
excerpts,3.0,4
excerpts,3.25,6
excerpts,3.5,3
excerpts,3.75,6
excerpts,4.0,3
excerpts,4.25,1
excerpts,4.5,1
excerpts,4.75,1
excerpts,5.0,0
human_output,1.0,2
human_output,1.25,4
human_output,1.5,2
human_output,1.75,1
human_output,2.0,4
human_output,2.25,5
human_output,2.5,6
human_output,2.75,4
human_output,3.0,5
human_output,3.25,4
human_output,3.5,4
human_output,3.75,3
human_output,4.0,1
human_output,4.25,3
human_output,4.5,1
human_output,4.75,1
human_output,5.0,1
computer_output,1.0,16
computer_output,1.25,15
computer_output,1.5,15
computer_output,1.75,5
computer_output,2.0,7
computer_output,2.25,8
computer_output,2.5,6
computer_output,2.75,5
computer_output,3.0,2
computer_output,3.25,5
computer_output,3.5,0
computer_output,3.75,3
computer_output,4.0,3
computer_output,4.25,2
computer_output,4.5,1
computer_output,4.75,0
computer_output,5.0,0
random_output,1.0,21
random_output,1.25,22
random_output,1.5,13
random_output,1.75,8
random_output,2.0,9
random_output,2.25,7
random_output,2.5,4
random_output,2.75,1
random_output,3.0,4
random_output,3.25,4
random_output,3.5,1
random_output,3.75,0
random_output,4.0,0
random_output,4.25,1
random_output,4.5,1
random_output,4.75,0
random_output,5.0,0
